fighter_id,name,nickname,height_feet,height_inches,weight,reach,stance,dob
0abcf6bc47191219,Bruno Lopes,Brunao,6.0,2.0,205.0,74,Orthodox,1993-04-24
745fa7b605f8e2da,Fatima Kline,The Archangel,5.0,6.0,115.0,67,Orthodox,2000-07-12
6c9b66b43663f2f7,Viktoriia Dudakova,,5.0,5.0,115.0,67,Orthodox,1999-01-26
ca28cdf526d6b6e9,Nurullo Aliev,Tajik Eagle,5.0,10.0,155.0,72,Orthodox,2000-12-08
af65aa688d13eedf,Joe Solecki,,5.0,9.0,155.0,70,Orthodox,1993-08-27
dc9572dd6ec74859,Colby Covington,Chaos,5.0,11.0,170.0,72,Orthodox,1988-02-22
b9437600497350f3,Joaquin Buckley,New Mansa,5.0,10.0,170.0,76,Southpaw,1994-04-27
d247691a6c0e9034,Cub Swanson,,5.0,8.0,145.0,70,Orthodox,1983-11-02
aa171d55d4b5208f,Billy Quarantillo,,5.0,10.0,145.0,70,Orthodox,1988-12-08
5d1b7e3dd9e11074,Manel Kape,StarBoy,5.0,5.0,125.0,68,Southpaw,1993-11-14
294aa73dbf37d281,Bruno Silva,Bulldog,5.0,4.0,125.0,65,Orthodox,1990-03-16
71171fc96445bf65,Vitor Petrino,,6.0,2.0,205.0,77,Orthodox,1997-08-28
e4277e87a789d687,Dustin Jacoby,The Hanyak,6.0,3.0,205.0,76,Orthodox,1988-04-04
0232cabbc30a2372,Adrian Yanez,,5.0,7.0,135.0,70,Orthodox,1993-11-29
850266b3dc4e506e,Daniel Marcos,Soncora,5.0,7.0,135.0,69,Orthodox,1993-03-07
b4b496ec2197ee3e,Navajo Stirling,,6.0,4.0,205.0,79,Orthodox,1997-11-07
3e8118c1ab52f211,Tuco Tokkos,,6.0,4.0,205.0,76,Orthodox,1990-06-30
511e82663651438d,Michael Johnson,The Menace,5.0,10.0,155.0,73,Southpaw,1986-06-04
ee18ff42063174df,Ottman Azaitar,Bulldozer,5.0,8.0,155.0,71,Switch,1990-02-20
58bbef3770bb2dfc,Joel Alvarez,El Fenomeno,6.0,3.0,155.0,77,Orthodox,1993-03-02
7cbf7c78d3b34218,Drakkar Klose,,5.0,9.0,155.0,70,Orthodox,1988-03-09
4682bc59d5f55145,Sean Woodson,The Sniper,6.0,2.0,145.0,78,Orthodox,1992-06-07
d2f43cfaf8ca3560,Fernando Padilla,El Valiente,6.0,1.0,145.0,76,Orthodox,1996-12-15
46e0d677f91bacc0,Miles Johns,Chapo,5.0,7.0,145.0,66,Orthodox,1994-03-30
9256f591b30c073e,Felipe Lima,Jungle Boy,5.0,6.0,145.0,68,Orthodox,1998-05-07
f29a6350c69f4a33,Miranda Maverick,Fear The,5.0,3.0,125.0,65,Southpaw,1997-07-01
5c637af9472ae7cc,Jamey-Lyn Horth,,5.0,7.0,125.0,66,Orthodox,1990-03-30
113df4fde64735c6,Davey Grant,Dangerous,5.0,8.0,135.0,69,Orthodox,1985-12-18
c5ccd878231c5407,Ramon Taveras,The Savage,5.0,8.0,135.0,70,Southpaw,1994-01-09
971dba22c622af12,Josefine Knutsson,Thunder,5.0,3.0,115.0,60,Orthodox,1996-01-16
e375cb5caf4717b6,Piera Rodriguez,La Fiera,5.0,3.0,115.0,63,Orthodox,1992-11-11
a0f0004aadf10b71,Alexandre Pantoja,The Cannibal,5.0,5.0,125.0,67,Orthodox,1990-04-16
d33da8a3d82bdb62,Kai Asakura,,5.0,8.0,125.0,69,Orthodox,1993-10-31
01afe0916a40c7c5,Shavkat Rakhmonov,Nomad,6.0,1.0,170.0,77,Orthodox,1994-10-23
442c9011034ae1fd,Ian Machado Garry,The Future,6.0,3.0,170.0,74,Orthodox,1997-11-17
787bb1f087ccff8a,Ciryl Gane,Bon Gamin,6.0,4.0,245.0,81,Orthodox,1990-04-12
279566840aa55bf2,Alexander Volkov,Drago,6.0,7.0,250.0,80,Orthodox,1988-10-24
d9c6f19f958643e9,Bryce Mitchell,Thug Nasty,5.0,10.0,145.0,70,Southpaw,1994-10-04
242d36d241b43c12,Kron Gracie,,5.0,9.0,145.0,70,Southpaw,1988-07-11
583ee11abddfc581,Nate Landwehr,The Train,5.0,9.0,145.0,72,Orthodox,1988-06-06
e93b04e308913c2e,Dooho Choi,The Korean Superboy,5.0,10.0,145.0,70,Orthodox,1991-04-10
2e19380f34871c6a,Dominick Reyes,The Devastator,6.0,4.0,205.0,77,Southpaw,1989-12-26
d4c9dcd330403612,Anthony Smith,Lionheart,6.0,4.0,205.0,76,Orthodox,1988-07-26
6d4b63c767106d3a,Vicente Luque,The Silent Assassin,5.0,11.0,170.0,75,Orthodox,1991-11-27
40f3cb27fc7305a1,Themba Gorimbo,The Answer,6.0,1.0,170.0,77,Orthodox,1991-01-23
76e2870ffafbe38f,Movsar Evloev,,5.0,7.0,145.0,72,Orthodox,1994-02-11
cb696ebfb6598724,Aljamain Sterling,Funk Master,5.0,7.0,145.0,71,Orthodox,1989-07-31
c6aee362c7a7d482,Randy Brown,Rudeboy,6.0,3.0,170.0,78,Orthodox,1990-07-08
f626118b6da0e020,Bryan Battle,The Butcher,6.0,1.0,170.0,77,Orthodox,1994-09-21
3a8176e15b9887c1,Chris Weidman,The All-American,6.0,2.0,185.0,78,Orthodox,1984-06-17
cad24459b28592ca,Eryk Anders,Ya Boi,6.0,1.0,185.0,75,Southpaw,1987-04-21
7f6ed67d3ed3c036,Cody Durden,Custom Made,5.0,7.0,125.0,67,Southpaw,1991-03-29
17e97649403ba428,Joshua Van,The Fearless,5.0,5.0,125.0,65,Orthodox,2001-10-10
c58f51dedb310998,Michael Chiesa,Maverick,6.0,1.0,170.0,75,Southpaw,1987-12-07
b0d6a1d8ac3d563d,Max Griffin,Pain,5.0,11.0,170.0,76,Orthodox,1985-11-29
c47df9303d318c67,Clay Guida,The Carpenter,5.0,7.0,155.0,70,Orthodox,1981-12-08
971246648e162f0d,Chase Hooper,The Dream,6.0,1.0,155.0,74,Southpaw,1999-09-13
8667caa0451d245b,Kennedy Nzechukwu,African Savage,6.0,5.0,205.0,83,Southpaw,1992-06-13
0c25d0a5e8cdbf19,Lukasz Brzeski,The Bull,6.0,4.0,236.0,78,Orthodox,1992-05-17
d661ce4da776fc20,Petr Yan,No Mercy,5.0,7.0,135.0,67,Switch,1993-02-11
aa72b0f831d0bfe5,Deiveson Figueiredo,Deus da Guerra,5.0,5.0,135.0,68,Orthodox,1987-12-18
c41d426cc7326d1b,Yan Xiaonan,,5.0,5.0,115.0,63,Orthodox,1989-06-16
d25240135aee03e5,Tabatha Ricci,Baby Shark,5.0,1.0,115.0,61,Orthodox,1995-02-21
32490e80ddab1e5a,Song Kenan,The Assassin,6.0,0.0,170.0,71,Orthodox,1990-03-10
447f9858ae78f921,Muslim Salikhov,King of Kung Fu,5.0,11.0,170.0,70,Orthodox,1984-06-09
2997e7fe3c9d3d4a,Wang Cong,The Joker,5.0,6.0,125.0,66,Southpaw,1992-05-15
a6eb54ae17a551be,Gabriella Fernandes,Gabi,5.0,6.0,125.0,66,Southpaw,1993-08-13
0845c81e37d3bcb3,Volkan Oezdemir,No Time,6.0,2.0,205.0,75,Orthodox,1989-09-19
9014c02eff8b3d62,Carlos Ulberg,Black Jag,6.0,4.0,205.0,77,Orthodox,1990-11-07
8a65fd9ba31fd3f7,Zhang Mingyang,Mountain Tiger,6.0,2.0,205.0,75,Orthodox,1998-08-16
6967153c7edb4d87,Ozzy Diaz,,6.0,4.0,205.0,79,Orthodox,1990-11-22
8677e67a75d65b8e,Baergeng Jieleyisi,,5.0,9.0,135.0,70,Orthodox,1995-11-24
a474aade8eb3a8f0,SuYoung You,Yoo-Jitsu,5.0,6.0,135.0,65,Orthodox,1995-12-11
296a120cb880477b,Kiru Sahota,,5.0,10.0,125.0,73,Orthodox,1995-05-28
3be16d817b36098b,DongHun Choi,,5.0,5.0,125.0,66,Switch,1999-01-02
d683f4870742b273,Shi Ming,,5.0,2.0,115.0,60,Orthodox,1994-11-14
c940b42df95bbd28,Feng Xiaocan,,5.0,7.0,115.0,66,Southpaw,2001-12-27
17cb6d8e8187f304,Nyamjargal Tumendemberel,Art of Knockout,5.0,7.0,125.0,71,Orthodox,1998-03-22
798e48f9e7f6ba22,Carlos Hernandez,,5.0,8.0,125.0,67,Orthodox,1993-10-25
bb2c3c3a466224af,Lone'er Kavanagh,,5.0,4.0,125.0,67,Orthodox,1999-06-09
88be62d6c1e6dadb,Jose Ochoa,Kalzifer,5.0,7.0,125.0,67,Southpaw,2000-12-31
86bace9e4ad85542,Xiao Long,,5.0,8.0,135.0,70,Orthodox,1998-04-13
32feae6d9a1e5047,Quang Le,Bang,5.0,6.0,135.0,70,Orthodox,1991-10-18
8c1ca54b5089d199,Maheshate,,6.0,0.0,155.0,71,Orthodox,1999-12-01
37f560436d745c18,Nikolas Motta,Iron,5.0,9.0,155.0,70,Orthodox,1993-02-08
07f72a2a7591b409,Jon Jones,Bones,6.0,4.0,248.0,84,Orthodox,1987-07-19
d28dee5c705991df,Stipe Miocic,,6.0,4.0,240.0,80,Orthodox,1982-08-19
07225ba28ae309b6,Charles Oliveira,Do Bronxs,5.0,10.0,155.0,74,Orthodox,1989-10-17
4b93a88f3b1de35b,Michael Chandler,Iron,5.0,8.0,155.0,71,Orthodox,1986-04-24
35673bf5204524ee,Bo Nickal,,6.0,1.0,185.0,76,Southpaw,1996-01-14
eabf206b162b3b83,Paul Craig,Bearjew,6.0,3.0,185.0,76,Orthodox,1987-11-27
36541f1e6c5d4955,Viviane Araujo,Vivi,5.0,4.0,125.0,68,Orthodox,1986-11-21
9d62c2d8ee151f08,Karine Silva,Killer,5.0,5.0,125.0,67,Orthodox,1993-12-02
9c393e836a852f30,Mauricio Ruffy,,5.0,11.0,155.0,75,Orthodox,1996-06-17
93b2b7caa457cbea,James Llontop,Goku,6.0,0.0,155.0,73,Orthodox,1999-08-02
f2477cf43c4975cc,Jonathan Martinez,Dragon,5.0,8.0,135.0,70,Southpaw,1994-04-20
c0ac37a4a1133da9,Marcus McGhee,The Maniac,5.0,8.0,135.0,69,Orthodox,1990-05-07
d1941565abf50b16,Jim Miller,A-10,5.0,8.0,155.0,71,Southpaw,1983-08-30
29af297d9f1de0f8,Damon Jackson,The Leech,5.0,11.0,155.0,71,Switch,1988-08-08
ffe9703408fb5964,David Onama,,5.0,11.0,145.0,74,Orthodox,1994-06-07
15ea371202eb25e1,Roberto Romero,El Charro Negro,5.0,8.0,155.0,70,Orthodox,2000-01-30
c9cf753cfdf77fc2,Marcin Tybura,Tybur,6.0,3.0,249.0,78,Orthodox,1985-11-09
25f9a5f3e8a52618,Jhonata Diniz,,6.0,4.0,254.0,79,Orthodox,1991-06-23
9e50097a89442158,Mickey Gall,,6.0,2.0,170.0,74,Switch,1992-01-22
3d074044a33825e7,Ramiz Brahimaj,,5.0,10.0,170.0,72,Orthodox,1992-11-17
f4d92416da98804b,Bassil Hafez,The Habibi,5.0,11.0,170.0,72,Orthodox,1992-01-31
6b56e94a59b7b134,Oban Elliott,The Welsh Gangster,6.0,0.0,170.0,72,Orthodox,1997-12-19
4798e823ada58fe9,Veronica Hardy,,5.0,4.0,125.0,64,Southpaw,1995-10-30
de594b35c45c2e9a,Eduarda Moura,Ronda,5.0,6.0,125.0,66,Orthodox,1994-02-28
84b3e7d38f2d2ec5,Neil Magny,The Haitian Sensation,6.0,3.0,170.0,80,Orthodox,1987-08-03
7ee0fd831c0fe7c3,Carlos Prates,The Nightmare,6.0,1.0,170.0,78,Switch,1993-08-17
6ac9bc2953c47345,Gerald Meerschaert,GM3,6.0,1.0,185.0,77,Southpaw,1987-12-18
d549cefc7c54ab78,Reinier de Ridder,RdR,6.0,4.0,185.0,78,Southpaw,1990-09-07
96924b0019b3aff1,Gaston Bolanos,The Dreamkiller,5.0,7.0,135.0,69,Orthodox,1992-09-14
8173f134396cb971,Cortavious Romious,,5.0,4.0,135.0,68,Southpaw,1994-01-06
a3a542074109b347,Luana Pinheiro,,5.0,2.0,115.0,62,Orthodox,1992-11-18
38c7f72747f4f712,Gillian Robertson,The Savage,5.0,5.0,115.0,63,Orthodox,1995-05-17
841695e02c99a521,Mansur Abdul-Malik,,6.0,2.0,185.0,79,Orthodox,1997-10-07
866fd7b1a6c90e7f,Dusko Todorovic,Thunder,6.0,1.0,185.0,74,Orthodox,1994-05-19
d7c3816669784109,Karolina Kowalkiewicz,,5.0,3.0,115.0,64,Orthodox,1985-10-15
cffb87059e645bd1,Denise Gomes,Dee,5.0,2.0,115.0,63,Orthodox,1999-12-30
8adcbd525fab8d9b,Elizeu Zaleski dos Santos,Capoeira,5.0,11.0,170.0,73,Orthodox,1986-12-11
03dee485905dbc9f,Zachary Scroggin,,6.0,3.0,170.0,74,Orthodox,1996-03-09
4aa58269d0664b5b,Matthew Semelsberger,Semi The Jedi,6.0,1.0,170.0,75,Switch,1992-11-23
feedf3053472fe56,Charles Radtke,Chuck Buffalo,5.0,9.0,170.0,72,Orthodox,1990-07-09
bf7ad5628363eec9,Cody Stamann,The Spartan,5.0,6.0,135.0,64,Orthodox,1989-11-09
da22387a0407a2dc,Da'Mon Blackshear,The Monster,5.0,10.0,135.0,72,Switch,1994-08-12
147e70aa6cc48cfc,Tresean Gore,Mr. Vicious,6.0,0.0,185.0,75,Switch,1994-06-21
6d48a2df51749d91,Antonio Trocoli,Malvado,6.0,6.0,185.0,79,Orthodox,1990-12-06
bd532e9a2b93870c,Melissa Mullins,No Mess,5.0,7.0,135.0,68,Orthodox,1991-07-23
9f5e3c20ce40b344,Klaudia Sygula,,5.0,8.0,135.0,69,Orthodox,1998-12-30
792be9a24df82ed6,Brandon Moreno,The Assassin Baby,5.0,7.0,125.0,70,Orthodox,1993-12-07
6d35bf94f7d30241,Amir Albazi,The Prince,5.0,5.0,125.0,68,Orthodox,1993-10-27
669970f7feba8ecd,Erin Blanchfield,Cold Blooded,5.0,4.0,125.0,66,Orthodox,1999-05-04
47b63240018d5d86,Rose Namajunas,Thug,5.0,5.0,125.0,65,Orthodox,1992-06-29
89839250eb25c9c1,Caio Machado,Bigfoot,6.0,4.0,250.0,78,Southpaw,1994-07-20
49edd0d90f60fb7d,Brendson Ribeiro,The Gorilla,6.0,3.0,205.0,81,Orthodox,1996-09-08
6551c64fbcd1a467,Ariane da Silva,Queen of Violence,5.0,6.0,125.0,67,Orthodox,1994-01-26
a9e260472d321361,Jasmine Jasudavicius,,5.0,7.0,125.0,68,Orthodox,1989-03-01
8e9eb3fc86db0f7d,Marc-Andre Barriault,Powerbar,6.0,1.0,185.0,74,Orthodox,1990-02-18
71505842fb6455c3,Dustin Stoltzfus,,6.0,0.0,185.0,75,Orthodox,1991-11-15
dd6103dd7127db1d,Mike Malott,Proper,6.0,1.0,170.0,73,Orthodox,1991-11-07
b27a1fcb56a3035a,Trevin Giles,,6.0,0.0,170.0,74,Orthodox,1992-08-06
24656ef4d605c96f,Aiemann Zahabi,,5.0,8.0,135.0,68,Orthodox,1987-11-19
6bd02119599741a4,Pedro Munhoz,The Young Punisher,5.0,6.0,135.0,65,Orthodox,1986-09-07
f1d64ae34e088832,Charles Jourdain,Air,5.0,9.0,135.0,69,Switch,1995-11-27
eb8d8c2a95cfccb8,Victor Henry,La Mangosta,5.0,7.0,135.0,68,Switch,1987-05-04
b8a85389d115e35a,Jack Shore,Tank,5.0,8.0,145.0,71,Orthodox,1995-02-06
52c2ae6d2f2d2613,Youssef Zalal,The Moroccan Devil,5.0,10.0,145.0,72,Switch,1996-09-04
c0badf3243907e59,Alexandr Romanov,King Kong,6.0,2.0,262.0,75,Southpaw,1990-12-11
d31a5546c0e9b213,Rodrigo Nascimento,Ze Colmeia,6.0,2.0,246.0,80,Orthodox,1992-11-26
1a2bf44edb8055b6,Serhiy Sidey,,5.0,11.0,135.0,72,Switch,1996-07-04
1effd880e1f1bb30,Garrett Armfield,,5.0,6.0,135.0,70,Orthodox,1996-10-09
c7c39e2fb70248b3,Chad Anheliger,The Monster,5.0,6.0,135.0,64,Orthodox,1986-12-01
700a674c042b7a96,Cody Gibson,The Renegade,5.0,10.0,135.0,71,Orthodox,1987-09-11
38c5817ade8a8014,Ivana Petrovic,,5.0,8.0,125.0,70,Southpaw,1994-06-11
54f64b5e283b0ce7,Ilia Topuria,El Matador,5.0,7.0,145.0,69,Orthodox,1997-01-21
150ff4cc642270b9,Max Holloway,Blessed,5.0,11.0,145.0,69,Orthodox,1991-12-04
e1147d3d2dabe1ce,Robert Whittaker,The Reaper,6.0,0.0,185.0,73,Orthodox,1990-12-20
767755fd74662dbf,Khamzat Chimaev,Borz,6.0,2.0,185.0,75,Orthodox,1994-05-01
d802174b0c0c1f4e,Magomed Ankalaev,,6.0,3.0,205.0,75,Orthodox,1992-06-02
333b9e5c723ac873,Aleksandar Rakic,Rocket,6.0,4.0,205.0,78,Orthodox,1992-02-06
396fe87b84ac2e1c,Lerone Murphy,The Miracle,5.0,9.0,145.0,73,Orthodox,1991-07-22
82a5152216251682,Dan Ige,50K,5.0,7.0,145.0,71,Orthodox,1991-08-06
06734ca9d88dec3a,Shara Magomedov,Bullet,6.0,2.0,185.0,73,Orthodox,1994-05-16
369ea36e450ae62a,Armen Petrosyan,Superman,6.0,3.0,185.0,71,Orthodox,1990-11-03
6e8f1bcdda94ff45,Ibo Aslan,The Last Ottoman,6.0,3.0,205.0,77,Orthodox,1996-04-23
09a4447655fd4b7b,Rafael Cerqueira,The Lion,6.0,3.0,205.0,76,Southpaw,1990-03-15
b997be68943010fc,Geoff Neal,Handz of Steel,5.0,11.0,170.0,75,Southpaw,1990-08-28
6a2f7c151031653d,Rafael Dos Anjos,,5.0,8.0,170.0,70,Southpaw,1984-10-26
849c5d9979df5357,Mateusz Rebecki,,5.0,7.0,155.0,66,Southpaw,1992-11-03
bf2c8e01b07d3eb1,Myktybek Orolbai,,5.0,10.0,155.0,74,Orthodox,1998-02-10
36b8f265bcd1b7a4,Abus Magomedov,,6.0,2.0,185.0,78,Orthodox,1990-09-02
1e719d4b676dc19a,Brunno Ferreira,The Hulk,5.0,10.0,185.0,72,Orthodox,1992-11-04
7a5e8c94a86f9895,Chris Barnett,Beastboy,5.0,9.0,265.0,75,Orthodox,1986-06-14
a09ed60aa67a3f67,Farid Basharat,Ferocious,5.0,8.0,135.0,71,Orthodox,1997-08-02
f264ba50b007f39e,Victor Hugo,Striker,5.0,7.0,135.0,71,Orthodox,1992-11-22
6a96ad1bc34fb113,Ismail Naurdiev,,5.0,10.0,185.0,74,Orthodox,1996-08-18
12ebd7d157e91701,Bruno Silva,Blindado,6.0,0.0,185.0,74,Orthodox,1989-07-13
8f765fd5775a8873,Rinat Fakhretdinov,Gladiator,6.0,0.0,170.0,74,Orthodox,1991-09-28
28d421729451c8ca,Carlos Leal,The Lion,5.0,11.0,170.0,74,Orthodox,1994-05-04
093e1f5bb73850be,Anthony Hernandez,Fluffy,6.0,0.0,185.0,75,Orthodox,1993-10-18
595db60957de51d3,Michel Pereira,Demolidor,6.0,1.0,185.0,73,Orthodox,1993-10-06
05339613bf8e9808,Rob Font,,5.0,8.0,135.0,71,Orthodox,1987-06-25
60425d07ef4b91a7,Kyler Phillips,The Matrix,5.0,8.0,135.0,72,Orthodox,1995-06-12
814e5233e2acf2ee,Charles Johnson,InnerG,5.0,9.0,125.0,70,Switch,1991-01-10
3cf18e01cb6cbde3,Sumudaerji,The Tibetan Eagle,5.0,8.0,125.0,72,Southpaw,1996-01-20
60a42bf82447c919,Jake Hadley,White Kong,5.0,7.0,135.0,70,Southpaw,1996-08-03
5c84f673b7bb7c15,Cameron Smotherman,The Baby-Faced Killa,5.0,9.0,135.0,69,Orthodox,1997-09-17
92a9aa9c93192871,Darren Elkins,The Damage,5.0,10.0,145.0,71,Orthodox,1984-05-16
361d49960a196976,Daniel Pineda,The Pit,5.0,7.0,145.0,69,Orthodox,1985-08-06
1a31ef98efce7a79,Matheus Nicolau,,5.0,6.0,125.0,66,Orthodox,1993-01-06
8d3273573b85be09,Asu Almabayev,Zulfikar,5.0,4.0,125.0,65,Orthodox,1994-01-25
7b433309b0fd12aa,Brad Katona,Superman,5.0,6.0,135.0,64,Orthodox,1991-12-19
ffd3224638c01b57,Jean Matsumoto,,5.0,6.0,135.0,68,Orthodox,1999-09-09
f9ab66e67240db7b,Joselyne Edwards,La Pantera,5.0,8.0,135.0,70,Orthodox,1995-09-29
4f3064faf17aa711,Tamires Vidal,Tractor,5.0,6.0,135.0,68,Orthodox,1998-07-27
c742287ed86a09bc,Jessica Penne,,5.0,5.0,115.0,67,Orthodox,1983-01-30
ac7c765882f2c68c,Elise Reed,,5.0,3.0,115.0,63,Orthodox,1992-12-05
3f4c3bc822bea45d,Melissa Martinez,Super Mely,5.0,2.0,115.0,66,Southpaw,1997-08-18
87f8699fdcc2c404,Alice Ardelean,,5.0,3.0,115.0,62,Orthodox,1992-04-19
be9bdec19b7e9ffe,Austen Lane,,6.0,6.0,245.0,80,Orthodox,1987-11-09
140567899d98978a,Robelis Despaigne,The Big Boy,6.0,7.0,265.0,84,Orthodox,1988-09-09
6e15f63b6c2e2c15,Brandon Royval,Raw Dawg,5.0,9.0,125.0,68,Southpaw,1992-08-16
4461d7e47375a895,Tatsuro Taira,,5.0,7.0,125.0,70,Orthodox,2000-01-27
0c6d9ea8306c029e,Brad Tavares,,6.0,1.0,185.0,74,Orthodox,1987-12-21
285ae0b4a68221f4,JunYong Park,The Iron Turtle,5.0,10.0,185.0,73,Orthodox,1991-02-27
c68c68efaa5ca6ef,Chidi Njokuani,Bang Bang,6.0,3.0,170.0,80,Orthodox,1988-12-31
c730a0be691dc081,Jared Gooden,NiteTrain,6.0,0.0,170.0,77,Orthodox,1993-12-05
99bd51917728c25d,Grant Dawson,KGD,5.0,10.0,155.0,72,Switch,1994-02-20
e132d47bd9efbbe0,Rafa Garcia,Gifted,5.0,7.0,155.0,70,Orthodox,1994-08-05
8a1f3b5c526cd6e6,Daniel Rodriguez,D-Rod,6.0,1.0,170.0,74,Southpaw,1986-12-31
cdb96af67d096b1e,Alex Morono,The Great White,5.0,11.0,170.0,72,Orthodox,1990-08-16
077e3ace32b72be9,CJ Vergara,,5.0,6.0,125.0,68,Orthodox,1991-06-18
7d0a1968b38ca439,Ramazan Temirov,Temurlan,5.0,4.0,125.0,63,Orthodox,1997-01-31
87c0b1c696ddfb43,Jonathan Pearce,JSP,6.0,0.0,145.0,71,Switch,1992-05-01
b8bbdeff718dbb7d,Pat Sabatini,,5.0,8.0,145.0,70,Orthodox,1990-11-09
d8da10db80131bec,Niko Price,The Hybrid,6.0,0.0,170.0,76,Orthodox,1989-09-29
c15fa95b9a12fde4,Junior Tafa,The Juggernaut,6.0,3.0,240.0,75,Orthodox,1996-09-21
0f3a990526c5e706,Sean Sharaf,The Smoke,6.0,3.0,252.0,77,Orthodox,1993-07-11
abb68e3c7ca128f2,Julia Polastri,Psycho,5.0,2.0,115.0,63,Orthodox,1998-03-05
3351aa64aa83c4d9,Cory McKenna,Poppins,5.0,3.0,115.0,58,Orthodox,1999-07-11
e4ba58725825412d,Dan Argueta,The Determined,5.0,7.0,135.0,68,Southpaw,1993-08-13
8e6654e9f0461b8f,Cody Haddon,,5.0,7.0,135.0,69,Orthodox,1998-09-08
b62d5280966b2460,Clayton Carpenter,,5.0,6.0,125.0,66,Orthodox,1996-06-09
e0d3d9b564f95635,Lucas Rocha,Fenomeno,5.0,3.0,125.0,64,Orthodox,2000-08-12
e5549c82bfb5582d,Alex Pereira,Poatan,6.0,4.0,205.0,79,Orthodox,1987-07-07
749f572d1d3161fb,Khalil Rountree Jr.,,6.0,1.0,205.0,76,Southpaw,1990-02-26
fc169c387b4b465d,Raquel Pennington,Rocky,5.0,7.0,135.0,67,Orthodox,1988-09-05
3253b16d38ae087d,Julianna Pena,The Venezuelan Vixen,5.0,6.0,135.0,69,Orthodox,1989-08-19
d0f3959b4a9747e6,Jose Aldo,,5.0,7.0,135.0,70,Orthodox,1986-09-09
bc711b6dd95c1af6,Mario Bautista,,5.0,9.0,135.0,69,Switch,1993-07-01
327d5f279895110d,Roman Dolidze,,6.0,2.0,185.0,76,Orthodox,1988-07-15
3a46b268013afede,Kevin Holland,Trailblazer,6.0,3.0,185.0,81,Orthodox,1992-11-05
b9706f80d005036c,Ketlen Vieira,Fenomeno,5.0,8.0,135.0,68,Orthodox,1991-08-26
1af1170ed937cba7,Kayla Harrison,,5.0,8.0,135.0,66,Southpaw,1990-07-02
4a28cb716c19157a,Stephen Thompson,Wonderboy,6.0,0.0,170.0,75,Orthodox,1983-02-11
cd2c4d30c6e13b47,Marina Rodriguez,,5.0,6.0,115.0,65,Orthodox,1987-04-29
abcf2cc6efc42031,Iasmin Lucindo,,5.0,3.0,115.0,66,Orthodox,2002-01-08
d2cd7a69cc55e7ed,Austin Hubbard,Thud,5.0,10.0,155.0,71,Orthodox,1991-12-22
262a7d06203657e6,Alexander Hernandez,The Great Ape,5.0,9.0,155.0,72,Orthodox,1992-10-01
a67f5afa8d6a1b80,Ryan Spann,Superman,6.0,5.0,205.0,79,Orthodox,1991-08-24
50db8711c70196cd,Ovince Saint Preux,,6.0,3.0,205.0,80,Southpaw,1983-04-08
d910665038efc639,Carla Esparza,Cookie Monster,5.0,1.0,115.0,63,Orthodox,1987-10-10
